Name            Location        Type         Namespace  Source
buserror        00000008        Data Label      Global  User Defined
zerodiv         00000014        Data Label      Global  User Defined
lineatrap       00000028        Data Label      Global  User Defined
lineftrap       0000002c        Data Label      Global  User Defined
lvl2vec         00000068        Data Label      Global  User Defined
lvl4vec         00000070        Data Label      Global  User Defined
trap1vec        00000084        Data Label      Global  User Defined
trap2vec        00000088        Data Label      Global  User Defined
trap13vec       000000b4        Data Label      Global  User Defined
trap14vec       000000b8        Data Label      Global  User Defined
mfpvects        00000100        Data Label      Global  User Defined
proc_lives      00000380        Data Label      Global  User Defined
proc_dregs      00000384        Data Label      Global  User Defined
proc_aregs      000003a4        Data Label      Global  User Defined
proc_enum       000003c4        Data Label      Global  User Defined
proc_usp        000003c8        Data Label      Global  User Defined
proc_stk        000003cc        Data Label      Global  User Defined
etv_timer       00000400        Data Label      Global  User Defined
etv_critic      00000404        Data Label      Global  User Defined
etv_term        00000408        Data Label      Global  User Defined
etv_xtra        0000040c        Data Label      Global  User Defined
memvalid        00000420        Data Label      Global  User Defined
memctrl         00000424        Data Label      Global  User Defined
resvalid        00000426        Data Label      Global  User Defined
resvector       0000042a        Data Label      Global  User Defined
phystop         0000042e        Data Label      Global  User Defined
membot          00000432        Data Label      Global  User Defined
memtop          00000436        Data Label      Global  User Defined
memval2         0000043a        Data Label      Global  User Defined
flock           0000043e        Data Label      Global  User Defined
seekrate        00000440        Data Label      Global  User Defined
timer_ms        00000442        Data Label      Global  User Defined
fverify         00000444        Data Label      Global  User Defined
bootdev         00000446        Data Label      Global  User Defined
palmode         00000448        Data Label      Global  User Defined
defshiftmod     0000044a        Data Label      Global  User Defined
sshiftmod       0000044c        Data Label      Global  User Defined
v_bas_ad        0000044e        Data Label      Global  User Defined
vblsem          00000452        Data Label      Global  User Defined
nvbls           00000454        Data Label      Global  User Defined
vblqueue        00000456        Data Label      Global  User Defined
colorptr        0000045a        Data Label      Global  User Defined
screenpt        0000045e        Data Label      Global  User Defined
vbclock         00000462        Data Label      Global  User Defined
frclock         00000466        Data Label      Global  User Defined
hdv_init        0000046a        Data Label      Global  User Defined
swv_vec         0000046e        Data Label      Global  User Defined
hdv_bpb         00000472        Data Label      Global  User Defined
hdv_rw          00000476        Data Label      Global  User Defined
hdv_boot        0000047a        Data Label      Global  User Defined
hdv_mediach     0000047e        Data Label      Global  User Defined
cmdload         00000482        Data Label      Global  User Defined
conterm         00000484        Data Label      Global  User Defined
trp14ret        00000486        Data Label      Global  User Defined
criticret       0000048a        Data Label      Global  User Defined
themd           0000048e        Data Label      Global  User Defined
___md           0000049e        Data Label      Global  User Defined
savptr          000004a2        Data Label      Global  User Defined
nflops          000004a6        Data Label      Global  User Defined
con_state       000004a8        Data Label      Global  User Defined
save_row        000004ac        Data Label      Global  User Defined
sav_context     000004ae        Data Label      Global  User Defined
bufl            000004b2        Data Label      Global  User Defined
hz_200          000004ba        Data Label      Global  User Defined
the_env         000004be        Data Label      Global  User Defined
drvbits         000004c2        Data Label      Global  User Defined
dskbufp         000004c6        Data Label      Global  User Defined
autopath        000004ca        Data Label      Global  User Defined
vbl_list        000004ce        Data Label      Global  User Defined
dumpflg         000004ee        Data Label      Global  User Defined
prtabt          000004f0        Data Label      Global  User Defined
sysbase         000004f2        Data Label      Global  User Defined
shell_p         000004f6        Data Label      Global  User Defined
end_os          000004fa        Data Label      Global  User Defined
exec_os         000004fe        Data Label      Global  User Defined
scr_dmp         00000502        Data Label      Global  User Defined
prt_stat        00000506        Data Label      Global  User Defined
prt_vec         0000050a        Data Label      Global  User Defined
aux_stat        0000050e        Data Label      Global  User Defined
aux_vec         00000512        Data Label      Global  User Defined
pun_ptr         00000516        Data Label      Global  User Defined
gem_env         00000840        Data Label      Global  User Defined
save_beg        0000084c        Data Label      Global  User Defined
__sbss          0000093a        Data Label      Global  User Defined
savepc          0000093a        Data Label      Global  User Defined
execpath        0000093e        Data Label      Global  User Defined
execname        00000942        Data Label      Global  User Defined
execdta         00000946        Data Label      Global  User Defined
execfname       00000972        Data Label      Global  User Defined
pbdef           00000992        Data Label      Global  User Defined
fd_scount       000009b0        Data Label      Global  User Defined
fd_wp           000009b2        Data Label      Global  User Defined
fd_latch        000009b4        Data Label      Global  User Defined
fd_lastacc      000009b6        Data Label      Global  User Defined
fd_motoron      000009be        Data Label      Global  User Defined
fd_desel        000009c0        Data Label      Global  User Defined
fd_dev          000009c2        Data Label      Global  User Defined
fd_track        000009c4        Data Label      Global  User Defined
fd_sect         000009c6        Data Label      Global  User Defined
fd_side         000009c8        Data Label      Global  User Defined
fd_scount       000009ca        Data Label      Global  User Defined
fd_buffer       000009cc        Data Label      Global  User Defined
fd_dmaend       000009d0        Data Label      Global  User Defined
fd_spt          000009d4        Data Label      Global  User Defined
fd_interlv      000009d6        Data Label      Global  User Defined
fd_virgin       000009d8        Data Label      Global  User Defined
lastacstm       000009da        Data Label      Global  User Defined
fd_deferr       000009de        Data Label      Global  User Defined
fd_curerr       000009e0        Data Label      Global  User Defined
flopsregs       000009e2        Data Label      Global  User Defined
