Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
buserror        00000008        Data Label      Global  User Defined    6       1
zerodiv         00000014        Data Label      Global  User Defined    1       0
lineatrap       00000028        Data Label      Global  User Defined    1       0
lineftrap       0000002c        Data Label      Global  User Defined    2       0
lvl2vec         00000068        Data Label      Global  User Defined    1       0
lvl4vec         00000070        Data Label      Global  User Defined    1       0
trap1vec        00000084        Data Label      Global  User Defined    1       0
trap2vec        00000088        Data Label      Global  User Defined    7       0
trap13vec       000000b4        Data Label      Global  User Defined    1       0
trap14vec       000000b8        Data Label      Global  User Defined    1       0
mfpvects        00000100        Data Label      Global  User Defined    1       0
proc_lives      00000380        Data Label      Global  User Defined    1       0
proc_dregs      00000384        Data Label      Global  User Defined    1       7
proc_aregs      000003a4        Data Label      Global  User Defined    1       7
proc_enum       000003c4        Data Label      Global  User Defined    2       0
proc_usp        000003c8        Data Label      Global  User Defined    1       0
proc_stk        000003cc        Data Label      Global  User Defined    2       1
etv_timer       00000400        Data Label      Global  User Defined    2       0
etv_critic      00000404        Data Label      Global  User Defined    2       0
etv_term        00000408        Data Label      Global  User Defined    1       0
etv_xtra        0000040c        Data Label      Global  User Defined    0       0
memvalid        00000420        Data Label      Global  User Defined    2       0
memctrl         00000424        Data Label      Global  User Defined    3       0
resvalid        00000426        Data Label      Global  User Defined    1       0
resvector       0000042a        Data Label      Global  User Defined    2       0
phystop         0000042e        Data Label      Global  User Defined    5       0
membot          00000432        Data Label      Global  User Defined    3       0
memtop          00000436        Data Label      Global  User Defined    2       0
memval2         0000043a        Data Label      Global  User Defined    2       0
flock           0000043e        Data Label      Global  User Defined    5       0
seekrate        00000440        Data Label      Global  User Defined    2       0
timer_ms        00000442        Data Label      Global  User Defined    3       0
fverify         00000444        Data Label      Global  User Defined    2       0
bootdev         00000446        Data Label      Global  User Defined    5       0
palmode         00000448        Data Label      Global  User Defined    0       0
defshiftmod     0000044a        Data Label      Global  User Defined    1       0
sshiftmod       0000044c        Data Label      Global  User Defined    8       0
v_bas_ad        0000044e        Data Label      Global  User Defined    25      2
vblsem          00000452        Data Label      Global  User Defined    5       0
nvbls           00000454        Data Label      Global  User Defined    2       0
vblqueue        00000456        Data Label      Global  User Defined    4       0
colorptr        0000045a        Data Label      Global  User Defined    3       0
screenpt        0000045e        Data Label      Global  User Defined    2       0
vbclock         00000462        Data Label      Global  User Defined    1       0
frclock         00000466        Data Label      Global  User Defined    4       0
hdv_init        0000046a        Data Label      Global  User Defined    2       0
swv_vec         0000046e        Data Label      Global  User Defined    3       0
hdv_bpb         00000472        Data Label      Global  User Defined    1       0
hdv_rw          00000476        Data Label      Global  User Defined    1       0
hdv_boot        0000047a        Data Label      Global  User Defined    2       0
hdv_mediach     0000047e        Data Label      Global  User Defined    1       0
cmdload         00000482        Data Label      Global  User Defined    1       0
conterm         00000484        Data Label      Global  User Defined    6       0
trp14ret        00000486        Data Label      Global  User Defined    0       0
criticret       0000048a        Data Label      Global  User Defined    0       0
themd           0000048e        Data Label      Global  User Defined    1       0
___md           0000049e        Data Label      Global  User Defined    0       0
savptr          000004a2        Data Label      Global  User Defined    6       0
nflops          000004a6        Data Label      Global  User Defined    8       0
con_state       000004a8        Data Label      Global  User Defined    11      0
save_row        000004ac        Data Label      Global  User Defined    2       0
sav_context     000004ae        Data Label      Global  User Defined    0       0
bufl            000004b2        Data Label      Global  User Defined    16      1
hz_200          000004ba        Data Label      Global  User Defined    12      0
the_env         000004be        Data Label      Global  User Defined    0       0
drvbits         000004c2        Data Label      Global  User Defined    3       0
dskbufp         000004c6        Data Label      Global  User Defined    4       0
autopath        000004ca        Data Label      Global  User Defined    0       0
vbl_list        000004ce        Data Label      Global  User Defined    3       1
dumpflg         000004ee        Data Label      Global  User Defined    34      0
prtabt          000004f0        Data Label      Global  User Defined    0       0
sysbase         000004f2        Data Label      Global  User Defined    1       0
shell_p         000004f6        Data Label      Global  User Defined    0       0
end_os          000004fa        Data Label      Global  User Defined    2       0
exec_os         000004fe        Data Label      Global  User Defined    2       0
scr_dmp         00000502        Data Label      Global  User Defined    2       0
prt_stat        00000506        Data Label      Global  User Defined    2       0
prt_vec         0000050a        Data Label      Global  User Defined    2       0
aux_stat        0000050e        Data Label      Global  User Defined    2       0
aux_vec         00000512        Data Label      Global  User Defined    1       0
pun_ptr         00000516        Data Label      Global  User Defined    0       0
gem_env         00000840        Data Label      Global  User Defined    5       0
save_beg        0000084c        Data Label      Global  User Defined    0       0
__sbss          0000093a        Data Label      Global  User Defined    0       1
savepc          0000093a        Data Label      Global  User Defined    6       1
execpath        0000093e        Data Label      Global  User Defined    3       0
execname        00000942        Data Label      Global  User Defined    2       0
execdta         00000946        Data Label      Global  User Defined    1       2
execfname       00000972        Data Label      Global  User Defined    3       2
pbdef           00000992        Data Label      Global  User Defined    2       11
fd_scount       000009b0        Data Label      Global  User Defined    7       0
fd_wp           000009b2        Data Label      Global  User Defined    7       0
fd_latch        000009b4        Data Label      Global  User Defined    8       0
fd_lastacc      000009b6        Data Label      Global  User Defined    2       1
fd_motoron      000009be        Data Label      Global  User Defined    3       0
fd_desel        000009c0        Data Label      Global  User Defined    3       0
fd_dev          000009c2        Data Label      Global  User Defined    5       0
fd_track        000009c4        Data Label      Global  User Defined    6       1
fd_sect         000009c6        Data Label      Global  User Defined    6       0
fd_side         000009c8        Data Label      Global  User Defined    3       1
fd_scount       000009ca        Data Label      Global  User Defined    4       0
fd_buffer       000009cc        Data Label      Global  User Defined    7       3
fd_buffer_endFIXME      000009d0        Data Label      Global  User Defined    1       0
fd_spt          000009d4        Data Label      Global  User Defined    2       0
fd_interlv      000009d6        Data Label      Global  User Defined    2       0
fd_virgin       000009d8        Data Label      Global  User Defined    1       1
lastacstm       000009da        Data Label      Global  User Defined    1       0
fd_deferr       000009de        Data Label      Global  User Defined    4       0
fd_curerr       000009e0        Data Label      Global  User Defined    11      0
flopsregs       000009e2        Data Label      Global  User Defined    2       8
dsb             00000a06        Data Label      Global  User Defined    2       3
rs232ibuf       00000a0e        Data Label      Global  User Defined    1       0
rs232obuf       00000b0e        Data Label      Global  User Defined    1       0
ikbdbuf         00000c0e        Data Label      Global  User Defined    1       3
midibuf         00000d0e        Data Label      Global  User Defined    1       0
rs232iorec      00000d8e        Data Label      Global  User Defined    5       0
rs232_flowFIXME 00000dae        Data Label      Global  User Defined    0       0
ikbdiorec       00000db0        Data Label      Global  User Defined    6       0
midiiorec       00000dbe        Data Label      Global  User Defined    4       0
midivec         00000dcc        Data Label      Global  User Defined    3       0
vkbderr         00000dd0        Data Label      Global  User Defined    2       0
vmiderr         00000dd4        Data Label      Global  User Defined    2       0
statvec         00000dd8        Data Label      Global  User Defined    2       0
mousevec        00000ddc        Data Label      Global  User Defined    5       0
clockvec        00000de0        Data Label      Global  User Defined    2       0
joyvec          00000de4        Data Label      Global  User Defined    3       0
midisys         00000de8        Data Label      Global  User Defined    2       0
ikbdsys         00000dec        Data Label      Global  User Defined    2       0
ikbdstate       00000df0        Data Label      Global  User Defined    7       0
kbdlength       00000df1        Data Label      Global  User Defined    4       0
kbdbuf          00000df2        Data Label      Global  User Defined    1       0
mousebuf        00000df9        Data Label      Global  User Defined    2       0
relmbuf         00000dfe        Data Label      Global  User Defined    3       0
clockbuf        00000e01        Data Label      Global  User Defined    2       0
joybuf          00000e07        Data Label      Global  User Defined    4       2
iclkrtime       00000e0a        Data Label      Global  User Defined    2       0
iclkwtime       00000e0e        Data Label      Global  User Defined    2       0
iclkbuf         00000e12        Data Label      Global  User Defined    1       0
buttonbuf       00000e18        Data Label      Global  User Defined    3       2
shifty          00000e1b        Data Label      Global  User Defined    23      0
